Location,Waterbody Code,Lat,Lon,Structure,Year Installed,ele,time,name
Glen Cunningham,5720,41.339413,-96.04992704,CEDAR,2019,336.954956,2020/05/26 18:44:15+00,1
Glen Cunningham,5720,41.33941401,-96.04993198,CEDAR,2019,337.077606,2020/05/26 18:44:21+00,2
Glen Cunningham,5720,41.33924603,-96.04941398,CEDAR,2019,337.753387,2020/05/26 18:48:20+00,3
Glen Cunningham,5720,41.33921896,-96.04937903,CEDAR,2019,337.576172,2020/05/26 18:48:29+00,4
Glen Cunningham,5720,41.33930898,-96.04914702,CEDAR,2019,337.41275,2020/05/26 18:48:52+00,5
Glen Cunningham,5720,41.33945097,-96.04930602,CEDAR,2019,336.867889,2020/05/26 18:49:27+00,6
Glen Cunningham,5720,41.33942801,-96.04937903,CEDAR,2019,336.505676,2020/05/26 18:49:38+00,7
Glen Cunningham,5720,41.340003,-96.04943301,CEDAR,2019,335.399902,2020/05/26 18:50:52+00,8
Glen Cunningham,5720,41.34002597,-96.04941901,CEDAR,2019,335.572235,2020/05/26 18:50:58+00,9
Glen Cunningham,5720,41.34005103,-96.04934701,CEDAR,2019,335.589417,2020/05/26 18:51:14+00,10
Glen Cunningham,5720,41.34003703,-96.04931599,CEDAR,2019,335.85022,2020/05/26 18:51:24+00,11
Glen Cunningham,5720,41.34005497,-96.04922497,CEDAR,2019,335.17807,2020/05/26 18:51:33+00,12
Glen Cunningham,5720,41.34026703,-96.04958799,CEDAR,2019,335.167633,2020/05/26 18:52:31+00,13
Glen Cunningham,5720,41.340275,-96.04959603,CEDAR,2019,335.15271,2020/05/26 18:52:36+00,14
Glen Cunningham,5720,41.340233,-96.04914702,CEDAR,2019,334.882568,2020/05/26 18:53:26+00,15
Glen Cunningham,5720,41.34018598,-96.049058,CEDAR,2019,335.029205,2020/05/26 18:53:50+00,16
Glen Cunningham,5720,41.34016603,-96.04901399,CEDAR,2019,334.949554,2020/05/26 18:54:13+00,17
Glen Cunningham,5720,41.34032504,-96.048886,CEDAR,2019,334.863464,2020/05/26 18:54:42+00,18
Glen Cunningham,5720,41.340348,-96.04887201,CEDAR,2019,334.90918,2020/05/26 18:54:50+00,19
Glen Cunningham,5720,41.340377,-96.04883404,CEDAR,2019,334.985046,2020/05/26 18:55:04+00,20
Glen Cunningham,5720,41.34041598,-96.04880503,CEDAR,2019,335.138794,2020/05/26 18:55:14+00,21
Glen Cunningham,5720,41.34038698,-96.04860504,CEDAR,2019,335.230286,2020/05/26 18:55:37+00,22
Glen Cunningham,5720,41.34039704,-96.04857302,CEDAR,2019,335.263336,2020/05/26 18:55:43+00,23
Glen Cunningham,5720,41.34040098,-96.04854402,CEDAR,2019,335.256592,2020/05/26 18:55:48+00,24
Glen Cunningham,5720,41.34039402,-96.04853396,CEDAR,2019,335.238007,2020/05/26 18:55:58+00,25
Glen Cunningham,5720,41.34014499,-96.04853698,CEDAR,2019,334.81076,2020/05/26 18:56:27+00,26
Glen Cunningham,5720,41.34009596,-96.04852198,CEDAR,2019,334.822021,2020/05/26 18:56:38+00,27
Glen Cunningham,5720,41.340074,-96.04852701,CEDAR,2019,335.142609,2020/05/26 18:56:44+00,28
Glen Cunningham,5720,41.34016201,-96.04841804,CEDAR,2019,335.060059,2020/05/26 18:57:30+00,29
Glen Cunningham,5720,41.34035404,-96.04810598,CEDAR,2019,335.48111,2020/05/26 18:58:33+00,30
Glen Cunningham,5720,41.34037499,-96.048095,CEDAR,2019,335.463074,2020/05/26 18:58:36+00,31
Glen Cunningham,5720,41.34037198,-96.04807598,CEDAR,2019,335.448547,2020/05/26 18:58:40+00,32
Glen Cunningham,5720,41.33862804,-96.05085097,CEDAR,2019,336.80423,2020/05/26 19:05:42+00,33
Glen Cunningham,5720,41.35065104,-96.054077,CEDAR,2019,337.81189,2020/06/15 18:45:17+00,34
Glen Cunningham,5720,41.35065196,-96.05414498,CEDAR,2019,338.212708,2020/06/15 18:45:27+00,35
Glen Cunningham,5720,41.35082102,-96.05423399,CEDAR,2019,338.047485,2020/06/15 18:45:55+00,36
Glen Cunningham,5720,41.35084198,-96.05420499,CEDAR,2019,338.104156,2020/06/15 18:46:02+00,37
Glen Cunningham,5720,41.35078599,-96.05410298,CEDAR,2019,337.952087,2020/06/15 18:46:14+00,38
Glen Cunningham,5720,41.350817,-96.05408303,CEDAR,2019,338.246185,2020/06/15 18:46:20+00,39
Glen Cunningham,5720,41.350774,-96.05402696,CEDAR,2019,338.112946,2020/06/15 18:46:28+00,40
Glen Cunningham,5720,41.350888,-96.05403299,CEDAR,2019,338.177399,2020/06/15 18:46:44+00,41
Glen Cunningham,5720,41.350932,-96.05402604,CEDAR,2019,338.118317,2020/06/15 18:46:52+00,42
Glen Cunningham,5720,41.35095698,-96.05410399,CEDAR,2019,338.376251,2020/06/15 18:47:02+00,43
Glen Cunningham,5720,41.35102596,-96.05421002,CEDAR,2019,338.236084,2020/06/15 18:47:16+00,44
Glen Cunningham,5720,41.35101398,-96.05423299,CEDAR,2019,338.419434,2020/06/15 18:47:24+00,45
Glen Cunningham,5720,41.35097802,-96.05429099,CEDAR,2019,338.347595,2020/06/15 18:47:37+00,46
Glen Cunningham,5720,41.35099696,-96.05427297,CEDAR,2019,338.386047,2020/06/15 18:47:50+00,47
Glen Cunningham,5720,41.35144497,-96.05447397,CEDAR,2019,338.229553,2020/06/15 18:48:41+00,48
Glen Cunningham,5720,41.35140399,-96.05461403,CEDAR,2019,338.033478,2020/06/15 18:48:55+00,49
Glen Cunningham,5720,41.35164496,-96.05447598,CEDAR,2019,338.256744,2020/06/15 18:49:26+00,50
Glen Cunningham,5720,41.35167003,-96.05447003,CEDAR,2019,338.256195,2020/06/15 18:49:30+00,51
Glen Cunningham,5720,41.35178201,-96.05442703,CEDAR,2019,338.728699,2020/06/15 18:49:47+00,52
Glen Cunningham,5720,41.35189097,-96.05341902,CEDAR,2019,338.197327,2020/06/15 18:51:13+00,53
Glen Cunningham,5720,41.351695,-96.05322104,CEDAR,2019,339.442078,2020/06/15 18:51:41+00,54
Glen Cunningham,5720,41.35206498,-96.05336102,CEDAR,2019,338.992615,2020/06/15 18:52:28+00,55
Glen Cunningham,5720,41.35251299,-96.05270002,CEDAR,2019,340.058624,2020/06/15 18:54:34+00,56
Glen Cunningham,5720,41.35252599,-96.05270103,CEDAR,2019,340.034088,2020/06/15 18:54:38+00,57
Glen Cunningham,5720,41.352572,-96.05268703,CEDAR,2019,339.257782,2020/06/15 18:54:52+00,58
Glen Cunningham,5720,41.35286001,-96.05270304,CEDAR,2019,339.249725,2020/06/15 18:55:21+00,59
Glen Cunningham,5720,41.35286302,-96.05277898,CEDAR,2019,339.082611,2020/06/15 18:55:29+00,60
Glen Cunningham,5720,41.353564,-96.05376796,CEDAR,2019,338.767303,2020/06/15 18:57:12+00,61
Glen Cunningham,5720,41.35358303,-96.053674,CEDAR,2019,339.299316,2020/06/15 18:57:29+00,62
Glen Cunningham,5720,41.35365603,-96.05394297,CEDAR,2019,338.906219,2020/06/15 18:57:52+00,63
Glen Cunningham,5720,41.35389701,-96.05364801,CEDAR,2019,339.038574,2020/06/15 18:58:29+00,64
Glen Cunningham,5720,41.35400598,-96.05362597,CEDAR,2019,339.296021,2020/06/15 18:58:42+00,65
Glen Cunningham,5720,41.35403004,-96.05364097,CEDAR,2019,339.296143,2020/06/15 18:58:46+00,66
Glen Cunningham,5720,41.35401101,-96.053358,CEDAR,2019,339.538483,2020/06/15 18:59:12+00,67
Glen Cunningham,5720,41.354167,-96.05323596,CEDAR,2019,339.544098,2020/06/15 18:59:33+00,68
Glen Cunningham,5720,41.35425601,-96.05324602,CEDAR,2019,339.051758,2020/06/15 18:59:47+00,69
Glen Cunningham,5720,41.35418401,-96.053157,CEDAR,2019,339.413055,2020/06/15 18:59:58+00,70
Glen Cunningham,5720,41.35427504,-96.05341902,CEDAR,2019,339.931824,2020/06/15 19:00:22+00,71
Glen Cunningham,5720,41.354311,-96.05345699,CEDAR,2019,339.944244,2020/06/15 19:00:29+00,72
Glen Cunningham,5720,41.35440102,-96.05382596,CEDAR,2019,339.671173,2020/06/15 19:01:08+00,73
Glen Cunningham,5720,41.35446103,-96.05382001,CEDAR,2019,339.281189,2020/06/15 19:01:16+00,74
Glen Cunningham,5720,41.35464099,-96.053718,CEDAR,2019,339.721588,2020/06/15 19:01:39+00,75
Glen Cunningham,5720,41.35466496,-96.05372597,CEDAR,2019,339.73175,2020/06/15 19:01:43+00,76
Glen Cunningham,5720,41.35467301,-96.05372597,CEDAR,2019,339.731812,2020/06/15 19:01:45+00,77
Glen Cunningham,5720,41.35469003,-96.05376704,CEDAR,2019,339.732391,2020/06/15 19:01:49+00,78
Glen Cunningham,5720,41.35478097,-96.05362203,CEDAR,2019,339.82785,2020/06/15 19:02:06+00,79
Glen Cunningham,5720,41.35483503,-96.05365204,CEDAR,2019,339.721893,2020/06/15 19:02:17+00,80
Glen Cunningham,5720,41.35489396,-96.05369302,CEDAR,2019,339.71814,2020/06/15 19:02:25+00,81
Glen Cunningham,5720,41.355002,-96.053703,CEDAR,2019,339.422638,2020/06/15 19:02:36+00,82
Glen Cunningham,5720,41.35503603,-96.053704,CEDAR,2019,339.423492,2020/06/15 19:02:40+00,83
Glen Cunningham,5720,41.35508498,-96.05371398,CEDAR,2019,339.923676,2020/06/15 19:02:46+00,84
Glen Cunningham,5720,41.35519596,-96.05377701,CEDAR,2019,339.586945,2020/06/15 19:02:58+00,85
Glen Cunningham,5720,41.35524097,-96.05390199,CEDAR,2019,339.796722,2020/06/15 19:03:09+00,86
Glen Cunningham,5720,41.35530601,-96.05379503,CEDAR,2019,340.078705,2020/06/15 19:03:21+00,87
Glen Cunningham,5720,41.35540098,-96.05376201,CEDAR,2019,339.757172,2020/06/15 19:03:32+00,88
Glen Cunningham,5720,41.35545596,-96.05376301,CEDAR,2019,339.886688,2020/06/15 19:03:38+00,89
Glen Cunningham,5720,41.35548396,-96.053718,CEDAR,2019,339.671265,2020/06/15 19:03:48+00,90
Glen Cunningham,5720,41.35552998,-96.05375597,CEDAR,2019,339.826385,2020/06/15 19:03:55+00,91
Glen Cunningham,5720,41.35561598,-96.053775,CEDAR,2019,339.4151,2020/06/15 19:04:04+00,92
Glen Cunningham,5720,41.35572997,-96.05388002,CEDAR,2019,339.781738,2020/06/15 19:04:38+00,93
Glen Cunningham,5720,41.355778,-96.05391003,CEDAR,2019,339.646698,2020/06/15 19:04:47+00,94
Glen Cunningham,5720,41.355821,-96.053919,CEDAR,2019,338.875061,2020/06/15 19:04:53+00,95
Glen Cunningham,5720,41.35588202,-96.053502,CEDAR,2019,340.492279,2020/06/15 19:05:35+00,96
Glen Cunningham,5720,41.35578504,-96.05352899,CEDAR,2019,340.073456,2020/06/15 19:05:48+00,97
Glen Cunningham,5720,41.35468801,-96.05335599,CEDAR,2019,339.843536,2020/06/15 19:08:52+00,98
Glen Cunningham,5720,41.35447604,-96.053373,CEDAR,2019,339.493225,2020/06/15 19:09:28+00,99
Glen Cunningham,5720,41.35443203,-96.05334702,CEDAR,2019,339.458221,2020/06/15 19:09:36+00,100
Glen Cunningham,5720,41.35411603,-96.05277102,CEDAR,2019,339.188751,2020/06/15 19:10:45+00,101
Glen Cunningham,5720,41.35410497,-96.05274,CEDAR,2019,339.178375,2020/06/15 19:10:49+00,102
Glen Cunningham,5720,41.35414998,-96.05268502,CEDAR,2019,339.894073,2020/06/15 19:10:58+00,103
Glen Cunningham,5720,41.35407899,-96.052697,CEDAR,2019,339.512329,2020/06/15 19:11:09+00,104
Glen Cunningham,5720,41.35402501,-96.05269801,CEDAR,2019,340.084747,2020/06/15 19:11:16+00,105
Glen Cunningham,5720,41.35368101,-96.05277797,CEDAR,2019,339.370453,2020/06/15 19:11:51+00,106
Glen Cunningham,5720,41.35360901,-96.052667,CEDAR,2019,339.305878,2020/06/15 19:12:02+00,107
Glen Cunningham,5720,41.35358102,-96.05252199,CEDAR,2019,339.138947,2020/06/15 19:12:14+00,108
Glen Cunningham,5720,41.35356702,-96.05251,CEDAR,2019,339.138092,2020/06/15 19:12:16+00,109
Glen Cunningham,5720,41.35360197,-96.05240699,CEDAR,2019,339.353943,2020/06/15 19:12:42+00,110
Glen Cunningham,5720,41.35367104,-96.05113604,CEDAR,2019,342.212341,2020/06/15 19:14:52+00,111
Glen Cunningham,5720,41.35347901,-96.05128096,CEDAR,2019,340.299194,2020/06/15 19:15:28+00,112
Glen Cunningham,5720,41.35280896,-96.05204104,CEDAR,2019,342.618073,2020/06/15 19:17:11+00,113
Glen Cunningham,5720,41.34090104,-96.04645098,CEDAR,2019,344.733459,2020/05/26 17:52:14+00,CED10
Glen Cunningham,5720,41.35013698,-96.05423902,CEDAR,2019,339.468536,2020/06/15 18:42:12+00,CED100
Glen Cunningham,5720,41.35010202,-96.05439199,CEDAR,2019,338.861389,2020/06/15 18:42:51+00,CED101
Glen Cunningham,5720,41.350112,-96.05447003,CEDAR,2019,338.324921,2020/06/15 18:43:09+00,CED102
Glen Cunningham,5720,41.340937,-96.04642499,CEDAR,2019,344.838928,2020/05/26 17:52:36+00,CED11
Glen Cunningham,5720,41.34094798,-96.04636196,CEDAR,2019,345.894836,2020/05/26 17:53:02+00,CED12
Glen Cunningham,5720,41.34103096,-96.04623598,CEDAR,2019,344.251282,2020/05/26 17:53:29+00,CED13
Glen Cunningham,5720,41.34106801,-96.04620899,CEDAR,2019,343.947357,2020/05/26 17:53:51+00,CED14
Glen Cunningham,5720,41.34108603,-96.04631402,CEDAR,2019,343.864349,2020/05/26 17:54:22+00,CED15
Glen Cunningham,5720,41.34111101,-96.04628501,CEDAR,2019,343.302399,2020/05/26 17:54:42+00,CED16
Glen Cunningham,5720,41.34112299,-96.04621897,CEDAR,2019,343.040192,2020/05/26 17:55:02+00,CED17
Glen Cunningham,5720,41.34116801,-96.04609299,CEDAR,2019,342.968597,2020/05/26 17:55:40+00,CED18
Glen Cunningham,5720,41.34118401,-96.04605401,CEDAR,2019,343.143311,2020/05/26 17:56:00+00,CED19
Glen Cunningham,5720,41.34067196,-96.04688298,CEDAR,2019,343.720062,2020/05/26 17:49:08+00,CED2
Glen Cunningham,5720,41.34120899,-96.04602199,CEDAR,2019,343.344208,2020/05/26 17:56:19+00,CED20
Glen Cunningham,5720,41.34131997,-96.04588,CEDAR,2019,342.765656,2020/05/26 17:56:56+00,CED21
Glen Cunningham,5720,41.34133204,-96.04601897,CEDAR,2019,342.194702,2020/05/26 17:57:22+00,CED22
Glen Cunningham,5720,41.34133003,-96.04609299,CEDAR,2019,342.90152,2020/05/26 17:57:45+00,CED23
Glen Cunningham,5720,41.34132097,-96.04613598,CEDAR,2019,342.430511,2020/05/26 17:58:02+00,CED24
Glen Cunningham,5720,41.34130497,-96.04619097,CEDAR,2019,341.563934,2020/05/26 17:58:21+00,CED26
Glen Cunningham,5720,41.34129399,-96.046225,CEDAR,2019,342.221832,2020/05/26 17:58:39+00,CED27
Glen Cunningham,5720,41.34123003,-96.04650102,CEDAR,2019,341.93573,2020/05/26 17:59:18+00,CED28
Glen Cunningham,5720,41.34120799,-96.04651401,CEDAR,2019,342.172607,2020/05/26 17:59:36+00,CED29
Glen Cunningham,5720,41.340663,-96.04677603,CEDAR,2019,344.84967,2020/05/26 17:49:49+00,CED3
Glen Cunningham,5720,41.34120002,-96.04657704,CEDAR,2019,342.538635,2020/05/26 17:59:55+00,CED30
Glen Cunningham,5720,41.341182,-96.04662498,CEDAR,2019,342.228149,2020/05/26 18:00:18+00,CED31
Glen Cunningham,5720,41.34115501,-96.04665499,CEDAR,2019,341.992798,2020/05/26 18:00:37+00,CED33
Glen Cunningham,5720,41.34112903,-96.04663898,CEDAR,2019,341.842499,2020/05/26 18:01:01+00,CED34
Glen Cunningham,5720,41.34107899,-96.04668701,CEDAR,2019,341.306976,2020/05/26 18:01:34+00,CED35
Glen Cunningham,5720,41.34106901,-96.04659699,CEDAR,2019,341.61676,2020/05/26 18:02:06+00,CED36
Glen Cunningham,5720,41.34109299,-96.04657897,CEDAR,2019,341.986755,2020/05/26 18:02:24+00,CED37
Glen Cunningham,5720,41.34093298,-96.04689002,CEDAR,2019,342.02887,2020/05/26 18:03:59+00,CED371
Glen Cunningham,5720,41.34112199,-96.04648199,CEDAR,2019,342.18222,2020/05/26 18:02:47+00,CED38
Glen Cunningham,5720,41.34093398,-96.04689999,CEDAR,2019,342.160767,2020/05/26 18:05:55+00,CED39
Glen Cunningham,5720,41.34072804,-96.04668198,CEDAR,2019,344.385132,2020/05/26 17:50:18+00,CED4
Glen Cunningham,5720,41.34090297,-96.04690804,CEDAR,2019,342.351746,2020/05/26 18:06:29+00,CED40
Glen Cunningham,5720,41.34089501,-96.04697501,CEDAR,2019,342.423676,2020/05/26 18:06:52+00,CED41
Glen Cunningham,5720,41.340909,-96.04698499,CEDAR,2019,342.177765,2020/05/26 18:07:08+00,CED42
Glen Cunningham,5720,41.34091403,-96.04700603,CEDAR,2019,342.04007,2020/05/26 18:07:40+00,CED43
Glen Cunningham,5720,41.34089098,-96.04705397,CEDAR,2019,341.729126,2020/05/26 18:08:00+00,CED44
Glen Cunningham,5720,41.34090297,-96.04708599,CEDAR,2019,342.656921,2020/05/26 18:08:22+00,CED45
Glen Cunningham,5720,41.340952,-96.04715497,CEDAR,2019,342.172394,2020/05/26 18:09:54+00,CED451
Glen Cunningham,5720,41.340994,-96.04708901,CEDAR,2019,342.852875,2020/05/26 18:10:12+00,CED46
Glen Cunningham,5720,41.34101696,-96.04699899,CEDAR,2019,342.596161,2020/05/26 18:10:34+00,CED47
Glen Cunningham,5720,41.34021599,-96.05135799,CEDAR,2019,338.254303,2020/05/26 18:27:23+00,CED49
Glen Cunningham,5720,41.34021901,-96.05140904,CEDAR,2019,337.429535,2020/05/26 18:27:50+00,CED50
Glen Cunningham,5720,41.34022898,-96.05138901,CEDAR,2019,337.582275,2020/05/26 18:28:15+00,CED51
Glen Cunningham,5720,41.34017902,-96.05187298,CEDAR,2019,337.98465,2020/05/26 18:29:26+00,CED52
Glen Cunningham,5720,41.34017198,-96.05193601,CEDAR,2019,337.863586,2020/05/26 18:29:44+00,CED53
Glen Cunningham,5720,41.34015799,-96.05198001,CEDAR,2019,338.024231,2020/05/26 18:29:59+00,CED54
Glen Cunningham,5720,41.34020098,-96.052006,CEDAR,2019,337.713989,2020/05/26 18:30:15+00,CED55
Glen Cunningham,5720,41.34021599,-96.05206802,CEDAR,2019,337.76181,2020/05/26 18:30:36+00,CED56
Glen Cunningham,5720,41.34030702,-96.05208202,CEDAR,2019,337.496857,2020/05/26 18:31:08+00,CED58
Glen Cunningham,5720,41.34031699,-96.05211404,CEDAR,2019,337.334625,2020/05/26 18:31:26+00,CED59
Glen Cunningham,5720,41.34075302,-96.04656598,CEDAR,2019,344.856628,2020/05/26 17:50:45+00,CED6
Glen Cunningham,5720,41.34004802,-96.05201103,CEDAR,2019,337.838257,2020/05/26 18:32:33+00,CED60
Glen Cunningham,5720,41.34002103,-96.05155497,CEDAR,2019,336.902283,2020/05/26 18:33:32+00,CED61
Glen Cunningham,5720,41.33980603,-96.05088299,CEDAR,2019,336.403351,2020/05/26 18:34:52+00,CED611
Glen Cunningham,5720,41.33936397,-96.05048502,CEDAR,2019,337.260071,2020/05/26 18:37:50+00,CED63
Glen Cunningham,5720,41.33950302,-96.05057102,CEDAR,2019,336.256958,2020/05/26 18:38:20+00,CED65
Glen Cunningham,5720,41.33954401,-96.05066003,CEDAR,2019,336.107056,2020/05/26 18:38:44+00,CED66
Glen Cunningham,5720,41.339542,-96.05069197,CEDAR,2019,335.9711,2020/05/26 18:39:01+00,CED67
Glen Cunningham,5720,41.33963504,-96.05070496,CEDAR,2019,335.859467,2020/05/26 18:39:24+00,CED68
Glen Cunningham,5720,41.33967502,-96.05069398,CEDAR,2019,336.331116,2020/05/26 18:39:56+00,CED69
Glen Cunningham,5720,41.34079501,-96.046555,CEDAR,2019,344.667786,2020/05/26 17:51:19+00,CED7
Glen Cunningham,5720,41.339671,-96.05064704,CEDAR,2019,336.11264,2020/05/26 18:40:15+00,CED70
Glen Cunningham,5720,41.33952096,-96.05043699,CEDAR,2019,336.178162,2020/05/26 18:41:03+00,CED71
Glen Cunningham,5720,41.33941401,-96.05031998,CEDAR,2019,336.270233,2020/05/26 18:41:50+00,CED72
Glen Cunningham,5720,41.33943597,-96.05021403,CEDAR,2019,337.153961,2020/05/26 18:42:15+00,CED73
Glen Cunningham,5720,41.33947897,-96.050137,CEDAR,2019,336.703674,2020/05/26 18:42:40+00,CED75
Glen Cunningham,5720,41.33945399,-96.05015201,CEDAR,2019,337.11734,2020/05/26 18:42:55+00,CED76
Glen Cunningham,5720,41.33945701,-96.05007598,CEDAR,2019,336.740143,2020/05/26 18:43:13+00,CED77
Glen Cunningham,5720,41.33945298,-96.050036,CEDAR,2019,337.233215,2020/05/26 18:43:29+00,CED78
Glen Cunningham,5720,41.33946296,-96.04996299,CEDAR,2019,336.956421,2020/05/26 18:43:55+00,CED79
Glen Cunningham,5720,41.34084597,-96.04653002,CEDAR,2019,343.680786,2020/05/26 17:51:49+00,CED8
Glen Cunningham,5720,41.33941401,-96.04993299,CEDAR,2019,337.07254,2020/05/26 18:44:24+00,CED80
Glen Cunningham,5720,41.33946698,-96.04994698,CEDAR,2019,336.583893,2020/05/26 18:45:03+00,CED801
Glen Cunningham,5720,41.33950797,-96.04983903,CEDAR,2019,336.144684,2020/05/26 18:45:45+00,CED81
Glen Cunningham,5720,41.33954502,-96.04980701,CEDAR,2019,335.918884,2020/05/26 18:46:04+00,CED82
Glen Cunningham,5720,41.339456,-96.04974196,CEDAR,2019,336.338409,2020/05/26 18:46:55+00,CED83
Glen Cunningham,5720,41.33935802,-96.04960299,CEDAR,2019,336.571716,2020/05/26 18:47:23+00,CED84
Glen Cunningham,5720,41.33934301,-96.04956703,CEDAR,2019,336.432098,2020/05/26 18:47:38+00,CED85
Glen Cunningham,5720,41.33933698,-96.04947701,CEDAR,2019,336.832397,2020/05/26 18:47:58+00,CED86
Glen Cunningham,5720,41.34061798,-96.04696596,CEDAR,2019,343.208862,2020/05/26 17:48:08+00,CEDAR1
Glen Cunningham,5720,41.35263998,-96.05833903,ISLAND,2019,339.259827,2020/06/15 17:12:14+00,ISLAND
Glen Cunningham,5720,41.34544102,-96.055142,TREE,2019,321.223419,2020/06/15 16:12:44+00,LOG
Glen Cunningham,5720,41.35266596,-96.05571499,TREE,2019,334.166473,2020/06/15 16:59:02+00,LOG1
Glen Cunningham,5720,41.35017503,-96.05364097,OLD ROAD END,2019,341.573578,2020/06/15 18:40:36+00,OLD RD END
Glen Cunningham,5720,41.35017402,-96.05456801,OLD BRIDGE,2019,340.116241,2020/06/15 18:43:38+00,OLDBRIDGE
Glen Cunningham,5720,41.35345101,-96.05534501,STRUCTURE,2019,335.850586,2020/06/15 16:46:48+00,P1
Glen Cunningham,5720,41.35013999,-96.05388002,ROCK PILE,2019,339.537476,2020/06/15 18:41:24+00,PALLET
Glen Cunningham,5720,41.34136297,-96.04727198,ROCK PILE,2019,341.559326,2020/05/26 18:13:45+00,ROCK1
Glen Cunningham,5720,41.341397,-96.04722898,ROCK PILE,2019,342.604858,2020/05/26 18:14:11+00,ROCK2
Glen Cunningham,5720,41.34140203,-96.04773299,ROCK PILE,2019,340.997894,2020/05/26 18:15:22+00,ROCK3
Glen Cunningham,5720,41.34150898,-96.04794497,ROCK PILE,2019,340.496002,2020/05/26 18:16:11+00,ROCK4
Glen Cunningham,5720,41.34153002,-96.04811101,ROCK PILE,2019,340.24234,2020/05/26 18:16:41+00,ROCK5
Glen Cunningham,5720,41.33948802,-96.04994296,ROCK PILE,2019,336.335327,2020/05/26 18:45:19+00,ROCK51
Glen Cunningham,5720,41.34134796,-96.04847504,ROCK PILE,2019,340.627594,2020/05/26 18:18:26+00,ROCK6
Glen Cunningham,5720,41.33950998,-96.04977801,ROCK PILE,2019,336.452454,2020/05/26 18:46:22+00,ROCK61
Glen Cunningham,5720,41.34015203,-96.04836599,ROCK PILE,2019,335.246338,2020/05/26 18:57:46+00,ROCK62
Glen Cunningham,5720,41.339297,-96.05100797,ROOTWAD,2019,337.036896,2020/05/26 18:36:05+00,ROOTWAD1
Glen Cunningham,5720,41.33940202,-96.05073304,ROOTWAD,2019,336.689423,2020/05/26 18:37:03+00,ROOTWAD2
Glen Cunningham,5720,41.34225698,-96.0554,SHOAL,2019,335.57193,2020/05/26 19:13:53+00,SHOAL1
Glen Cunningham,5720,41.34265596,-96.05509096,SHOAL,2019,334.954254,2020/05/26 19:15:03+00,SHOAL2
Glen Cunningham,5720,41.34302703,-96.05488703,SHOAL,2019,334.969116,2020/05/26 19:16:10+00,SHOAL3
Glen Cunningham,5720,41.34163102,-96.05594499,SHOAL,2019,337.277588,2020/05/26 19:12:16+00,SHOAL4
Glen Cunningham,5720,41.34437601,-96.05489197,SHOAL,2019,316.81015,2020/06/15 16:10:08+00,SPAWN BED11
Glen Cunningham,5720,41.35315496,-96.05711502,SHOAL,2019,337.269165,2020/06/15 17:21:57+00,SPAWN BED4
Glen Cunningham,5720,41.352585,-96.05687002,SHOAL,2019,336.047699,2020/06/15 17:09:26+00,SPAWN BED5
Glen Cunningham,5720,41.35292002,-96.05585698,SHOAL,2019,336.813965,2020/06/15 16:48:30+00,SPAWN BED6
Glen Cunningham,5720,41.35376802,-96.055716,SHOAL,2019,340.297424,2020/06/15 17:27:04+00,SPAWN BED7
Glen Cunningham,5720,41.35442499,-96.05529799,SHOAL,2019,336.577942,2020/06/15 16:44:19+00,SPAWN BED8
Glen Cunningham,5720,41.34393998,-96.05617499,SHOAL,2019,304.734161,2020/06/15 15:57:31+00,SPAWN10
Glen Cunningham,5720,41.34128703,-96.04716696,TREE,2019,341.572357,2020/05/26 18:12:10+00,STUMP1
Glen Cunningham,5720,41.34121503,-96.04723401,TREE,2019,341.942963,2020/05/26 18:12:46+00,STUMP2
Glen Cunningham,5720,41.34031598,-96.05056004,TREE,2019,337.272949,2020/05/26 18:25:31+00,STUMP3
Glen Cunningham,5720,41.35213899,-96.05309397,TREE,2019,339.775513,2020/06/15 18:52:51+00,TREE
Glen Cunningham,5720,41.35368797,-96.05822101,SHOAL,2019,338.652954,2020/06/15 17:16:52+00,VEG BAR
Glen Cunningham,5720,41.34163102,-96.05594499,SHOAL,2019,337.277588,2020/05/26 19:12:16+00,VEG BAR1
Glen Cunningham,5720,41.34417803,-96.05753596,SHOAL,2019,298.115753,2020/06/15 15:52:10+00,VEG BAR5
Glen Cunningham,5720,41.34423796,-96.057227,SHOAL,2019,302.490143,2020/06/15 15:54:32+00,VEG BAR6
Glen Cunningham,5720,41.34437299,-96.05547401,SHOAL,2019,315.778595,2020/06/15 16:06:46+00,VEG BAR61
Glen Cunningham,5720,41.35342796,-96.05750704,SHOAL,2019,338.761475,2020/06/15 17:19:38+00,VEG BAR7
Glen Cunningham,5720,41.35332,-96.05605597,SHOAL,2019,339.397064,2020/06/15 17:25:15+00,VEG BAR8
Glen Cunningham,5720,41.35416901,-96.05570996,SHOAL,2019,341.347046,2020/06/15 17:28:45+00,VEG BAR9
